NMec = 97746
T = 7
P = 7
Profits not ignored
Valid tasks:                                                              128
Solution time = 1.088e-05
Task data
    0  14  1692 0
    6  18  2306 1
    9  16   540 2
   10  20  1826 3
   10  27  2103 4
   13  24  1556 5
   13  28  1855 6
Best profit: 11878
All profits:
0 1
540 1
1556 1
1692 1
1826 1
1855 1
2096 1
2103 1
2232 1
2306 1
2366 1
2395 1
2643 1
2846 1
3248 1
3382 1
3411 1
3518 1
3547 1
3659 1
3681 1
3788 1
3795 1
3862 1
3922 1
3929 1
3951 1
3958 1
3998 1
4058 1
4087 1
4132 1
4161 1
4199 1
4221 1
4335 1
4402 1
4409 1
4469 1
4498 1
4538 1
4672 1
4701 1
4949 1
5074 1
5103 1
5237 1
5351 1
5373 1
5485 1
5514 1
5554 1
5614 1
5621 1
5643 1
5650 1
5688 1
5717 1
5777 1
5784 1
5824 1
5853 1
5891 1
5913 1
5965 1
5987 1
6025 1
6054 1
6094 1
6101 1
6161 1
6190 1
6228 1
6235 1
6257 1
6264 1
6324 1
6364 1
6393 1
6505 1
6527 1
6641 1
6775 1
6804 1
6929 1
7177 1
7206 1
7340 1
7380 1
7409 1
7469 1
7476 1
7543 1
7657 1
7679 1
7717 1
7746 1
7791 1
7820 1
7880 1
7920 1
7927 1
7949 1
7956 1
8016 1
8083 1
8090 1
8197 1
8219 1
8331 1
8360 1
8467 1
8496 1
8630 1
9032 1
9235 1
9483 1
9512 1
9572 1
9646 1
9775 1
9782 1
10023 1
10052 1
10186 1
10322 1
11338 1
End
