NMec = 97746
T = 10
P = 7
Profits not ignored
Valid tasks:                                                              968
Solution time = 3.275e-05
Task data
    1  18  4548 0
    2  22  3429 1
    5  16  2329 2
    6  16  1099 -1
    6  25  2263 3
    7  17  1295 -1
    7  19  2325 4
   12  20  1324 5
   14  25  1552 6
   15  24  1176 -1
Best profit: 17770
All profits:
0 1
1099 1
1176 1
1295 1
1324 1
1552 1
2263 1
2275 1
2325 1
2329 1
2394 1
2423 1
2471 1
2500 1
2619 1
2651 1
2728 1
2847 1
2876 1
3362 1
3424 1
3428 1
3429 1
3439 1
3501 1
3505 1
3558 1
3570 1
3587 1
3599 1
3620 1
3624 1
3649 1
3653 1
3718 1
3795 1
3815 1
3827 1
3877 1
3881 1
3946 1
3975 1
4023 1
4052 1
4171 1
4528 1
4538 1
4548 1
4588 1
4592 1
4600 1
4604 1
4605 1
4654 1
4657 1
4686 1
4719 1
4723 1
4724 1
4734 1
4748 1
4752 1
4753 1
4763 1
4796 1
4800 1
4825 1
4829 1
4882 1
4894 1
4914 1
4944 1
4948 1
4976 1
4980 1
4981 1
4991 1
5053 1
5057 1
5110 1
5122 1
5139 1
5151 1
5172 1
5176 1
5201 1
5205 1
5270 1
5347 1
5647 1
5687 1
5691 1
5692 1
5704 1
5724 1
5753 1
5754 1
5758 1
5764 1
5768 1
5823 1
5830 1
5833 1
5843 1
5852 1
5862 1
5872 1
5883 1
5887 1
5895 1
5899 1
5900 1
5912 1
5916 1
5924 1
5928 1
5929 1
5949 1
5978 1
5981 1
6043 1
6047 1
6048 1
6058 1
6080 1
6090 1
6100 1
6120 1
6124 1
6140 1
6144 1
6152 1
6156 1
6157 1
6206 1
6209 1
6238 1
6271 1
6275 1
6276 1
6286 1
6300 1
6304 1
6305 1
6315 1
6348 1
6352 1
6377 1
6381 1
6434 1
6446 1
6496 1
6500 1
6791 1
6811 1
6823 1
6853 1
6857 1
6863 1
6867 1
6868 1
6873 1
6877 1
6917 1
6929 1
6930 1
6934 1
6942 1
6971 1
6982 1
6986 1
6987 1
6999 1
7011 1
7015 1
7016 1
7019 1
7028 1
7048 2
7049 1
7053 1
7059 1
7063 1
7077 1
7078 1
7082 1
7088 1
7092 1
7125 1
7147 1
7154 1
7157 1
7167 1
7199 1
7207 1
7211 1
7219 1
7223 1
7224 1
7239 1
7243 1
7244 1
7256 1
7273 1
7276 1
7305 1
7306 1
7310 1
7316 1
7320 1
7375 1
7382 1
7385 1
7395 1
7404 1
7414 1
7424 1
7435 1
7439 1
7447 1
7451 1
7452 1
7464 1
7468 1
7476 1
7480 1
7481 1
7501 1
7530 1
7533 1
7595 1
7599 1
7600 1
7610 1
7672 1
7676 1
7910 1
7967 1
7972 1
7976 1
7977 1
7987 1
8016 1
8017 1
8021 1
8029 1
8033 1
8049 1
8053 1
8083 1
8086 1
8093 1
8106 1
8115 1
8118 1
8135 1
8147 1
8148 1
8152 1
8158 1
8162 1
8163 1
8168 1
8172 1
8177 1
8181 1
8187 1
8191 1
8192 1
8197 1
8201 1
8212 1
8224 1
8225 1
8229 1
8241 1
8253 1
8254 1
8258 1
8266 1
8306 1
8310 1
8311 1
8323 1
8343 2
8363 1
8372 1
8373 1
8375 1
8377 1
8383 1
8387 1
8405 1
8409 1
8415 1
8419 1
8420 1
8425 1
8429 1
8449 1
8469 1
8481 1
8482 1
8486 1
8494 1
8523 1
8534 1
8538 1
8539 1
8551 1
8563 1
8567 1
8568 1
8571 1
8580 1
8600 2
8601 1
8605 1
8611 1
8615 1
8629 1
8630 1
8634 1
8640 1
8644 1
8677 1
8699 1
8706 1
8709 1
8719 1
8759 1
8763 1
8771 1
8775 1
8776 1
8825 1
9076 1
9086 1
9116 1
9120 1
9136 1
9140 1
9148 1
9152 1
9153 1
9182 1
9192 1
9193 1
9197 1
9202 1
